id,MLS,ss,address,city,zip_code,zoning,property_type,floor_plan,bedrooms,baths,garage_spaces,year_built,list_price,close_price,main_bed,sold_concessions,terms_sale,closed_date,area,subarea,lp_sf,sp_sf,em,total_sf,finished_sf,hoa_fee,lot_size,main_beds,school_district,heat_air,total_acres,fireplace,listagent,buyersagent,dom,cdom,taxid,listoffice,selloffice
74810,8956391,False,2834 N Institute ST,Colorado Springs,80907,R1-6,Single Family,Ranch,4,3,0,1959,235000,229000,True,500,Conventional,2016-06-01,CEN - Central,Kitty Hawk,103,0.97,2000,2275,2172,0,7402,3,11-Colorado Springs,"Ceiling Fan, Forced Air, Natural Gas",0,"Main, One, Wood",230014213,230004920,7,7,6332309014,Keller Williams Clients Choice Rlty,"RE/MAX Performance, Inc."
74893,6107427,False,6878 Millbrook CR,Fountain,80817,R-1,Single Family,Tri-Level,3,1,1,1979,132000,132000,False,0,Conventional,2016-06-01,F/V - Fountain Valley,Country Club Heights,93,1,1000,1427,1182,0,7114,0,3-Widefield,"Ceiling Fan, Forced Air, Natural Gas",0,None,230015128,230016929,3,3,5520101001,Premier Real Estate Group,"RE/MAX Properties, Inc."
74911,4135430,True,7485 Dobbs DR,Fountain,80817,PUD,Single Family,Tri-Level,3,3,2,2007,185000,188000,False,4000,VA,2016-06-01,F/V - Fountain Valley,Cross Creek,106,1.02,2000,1746,1382,0,6037,0,3-Widefield,"Forced Air, Natural Gas",0,"Gas, Lower",230017081,230003118,91,91,5529419002,Keller Williams Partners Realty,Birger & Birger Inc.                              
74926,8409334,True,7419 CREEKFRONT DR,Fountain,80817,R-1 5000,Single Family,2 Story,4,3,2,2005,222000,215000,False,5000,VA,2016-06-01,F/V - Fountain Valley,Cross Creek,81,0.97,2000,2745,2021,180,7170,0,3-Widefield,"Central Air, Forced Air",0,Main,230010922,230010922,3,54,5529404005,"Highest Point, Inc.","Highest Point, Inc."
74929,6675215,False,7615 Dobbs DR,Fountain,80817,UNKNOWN,Single Family,2 Story,3,3,2,2008,220000,225000,False,2500,VA,2016-06-01,F/V - Fountain Valley,Mesa Ridge,105,1.02,1500,2089,1402,0,6195,0,3-Widefield,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,None,230010894,230014861,2,2,5529419010,"RE/MAX Properties, Inc.","Perkins Real Estate Group, LLC"
74935,5801658,False,7487 Farmcrest RD,Colorado Springs,80925,PUD,Single Family,Ranch,4,2,2,2005,224900,228000,True,4000,VA,2016-06-01,F/V - Fountain Valley,The Glen At Widefield,107,1.01,2000,2100,1985,130,5468,2,3-Widefield,"Ceiling Fan, Central Air, Forced Air",0,"Gas, Main, One",230008326,230016521,1,1,5528205002,"Jillian Properties, Inc.","RE/MAX Properties, Inc."
74945,5422603,False,1030 Ancestra DR,Fountain,80817,PUD,Single Family,Ranch,5,3,2,1999,234900,239900,True,4500,FHA,2016-06-01,F/V - Fountain Valley,Heritage,94,1.02,1000,2492,2431,0,5247,3,8-Fountain,"Ceiling Fan, Central Air, Forced Air",0,Gas,230015134,230011413,2,2,5532111006,Keller Williams Clients Choice Rlty,"Platinum Realty, Inc."
74950,5812592,False,11265 Falling Star RD,Fountain,80817,PUD,Single Family,4-Levels,3,3,2,2007,245000,247000,False,4000,VA,2016-06-01,F/V - Fountain Valley,Countryside North,99,1.01,2000,2480,1832,0,8289,0,8-Fountain,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,None,230013350,230003660,19,20,5609205008,"RE/MAX Advantage Realty, Inc.",Paradigm Real Estate                              
74962,6408872,False,11135 Falling Star RD,Fountain,80817,PUD,Single Family,Ranch,5,3,2,2010,259900,259900,True,0,VA,2016-06-01,F/V - Fountain Valley,Countryside North,108,1,2500,2404,2404,0,6496,3,8-Fountain,"Ceiling Fan, Forced Air",0,None,230015735,230014817,5,5,5609205019,Premier Real Estate Group,Keller Williams Clients Choice Rlty
,6009229,False,7774 Old Spec RD,Peyton,80831,RS-5000,Single Family,2 Story,2,3,2,2000,239995,233950,False,3950,FHA,2018-10-15,FAN - Falcon North,Woodmen Hills,138,0.97,2000,1736,1736,100,5887,0,49-Falcon,"Forced Air, Hot Water, Natural Gas",0,None,232019102,635504004,12,12,4306311003,Hallmark Properties                               ,Non Member
,6584239,False,12948 Casa De Campo RD,Peyton,80831,PUD,Single Family,Ranch,3,2,2,2005,250000,255000,True,0,Conventional,2018-10-15,FAN - Falcon North,Woodmen Hills,188,1.02,2500,1328,1328,100,6019,3,49-Falcon,"Ceiling Fan, Forced Air",0,"Gas, Main, One",230017595,230010119,2,2,4232203009,The Cutting Edge,"Synergy Realty Group, Inc."
,2098387,False,11981 Eagle Crest CT,Peyton,80831,PUD,Single Family,2 Story,4,3,2,2015,275000,275000,False,0,Conventional,2018-10-15,FAN - Falcon North,Meridian Ranch,157,1,2500,1748,1748,167,6250,0,49-Falcon,"Ceiling Fan, Forced Air, Natural Gas",0,None,230011330,230011278,3,3,4230319043,Keller Williams Clients Choice Rlty,Coldwell Banker Residential Brokerage             
,7466305,False,7565 Maverick RD,Colorado Springs,80908,RR-5,Single Family,Ranch,3,1,3,1960,319000,295000,True,3500,Conventional,2018-10-15,FAN - Falcon North,Bar J-B Acres,237,0.92,5000,1344,1344,0,218671,3,49-Falcon,"Central Air, Forced Air, Solar Active",5,None,230003506,230004369,57,57,5304003020,The Platinum Group,RE/MAX Properties Inc
,8675967,False,9706 Fleece Flower WY,Peyton,80831,PUD,Single Family,2 Story,5,4,2,2010,365000,368000,False,7000,Conventional,2018-10-15,FAN - Falcon North,Meridian Ranch,99,1.01,5000,3695,3641,95,7841,0,49-Falcon,"Ceiling Fan, Central Air, Forced Air",0,"Gas, Main, One",230004855,230017199,154,154,4230315023,The Platinum Group,"Skyline Properties, Inc"
,6085450,False,7790 Wagonwood PL,Colorado Springs,80908,"A, PUD",Single Family,2 Story,4,4,3,2016,375000,380000,False,0,VA,2018-10-15,FAN - Falcon North,Forest Meadows,114,1.01,3750,3280,3100,65,5375,0,49-Falcon,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,None,230010668,230011989,0,0,5305411040,RE/MAX Real Estate Group LLC,Springs Elite Realty
,3031917,False,7904 Hardwood CR,Colorado Springs,80908,PUD,Single Family,2 Story,4,3,3,2016,415000,415000,True,5000,Conventional,2018-10-15,FAN - Falcon North,Forest Meadows,85,1,4000,4901,3384,65,7851,1,49-Falcon,"Central Air, Forced Air",0,None,230015814,230016106,17,17,5305401024,RE/MAX Real Estate Group LLC,Equity Colorado Llc
,8502710,False,10302 Capital Peak WY,Peyton,80831,PUD,Single Family,2 Story,6,4,4,2008,489900,475000,True,0,VA,2018-10-15,FAN - Falcon North,Meridian Ranch,108,0.97,5000,4528,4528,115,9476,1,49-Falcon,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,"Basement, Gas, Main, Three",230007465,230017195,5,5,4230104022,RE/MAX Real Estate Group LLC,"Great Colorado Homes, Inc."
,6896302,False,1259 Pathfinder CR,Florissant,80816,R-1M,Single Family,Ranch,3,2,4,1995,269000,255000,True,1500,Conventional,2018-10-15,FLO - Florissant,Indian Creek,156,0.95,2500,1725,1725,0,297514.8,3,Re2-Woodland Park,"Forced Air, Propane",7,"Main, One, Wood",652500076,230003911,51,52,27302070010,HomeSmart Realty Group,RE/MAX Performance Inc
,1266108,False,870 Oak Ridge RD,Manitou Springs,80829,PUD,Single Family,1.5 Story,2,2,2,2000,399900,385000,True,0,Conventional,2018-10-15,MAN - Manitou Springs,Crystal Park,212,0.96,4000,1888,1888,165,27442.8,1,14-Manitou Springs,"Baseboard, Ceiling Fan, Hot Water, Propane, Solar Passive, Wood",1,"Main, Masonry, Wood",230009170,230000212,4,4,7408000048,Pappas Davis Real Estate,"RE/MAX Advantage Realty, Inc."
,1303645,False,2652 Lynbarton PT,Colorado Springs,80918,R-5,Townhouse,2 Story,3,3,1,2011,229900,229900,False,500,FHA,2018-10-15,N/E - Northeast,Club Vista Village,126,1,2500,1828,1749,170,2088,0,11-Colorado Springs,"Central Air, Forced Air, Natural Gas",0,None,798531521,230016115,2,3,6316412190,Springs Homes Inc,Around The Block Realty
,5872036,False,6968 BIG TIMBER DR,Colorado Springs,80923,PUD,Single Family,Ranch,5,3,2,2000,295000,292000,True,0,Conventional,2018-10-15,N/E - Northeast,Newport Heights East,141,0.99,1500,2098,2077,0,5114,2,11-Colorado Springs,Forced Air,0,Gas,230010922,230016188,12,12,6311101013,Highest Point Inc,Trade Bridge
,5447590,False,5623 Wells Fargo DR,Colorado Springs,80918,"AO, PUD",Single Family,Ranch,5,3,2,1994,385000,385000,True,500,Conventional,2018-10-15,N/E - Northeast,Dakota Ridge,104,1,4000,3706,3613,0,7000,3,11-Colorado Springs,"Ceiling Fan, Central Air, Natural Gas",0,"Gas, Main, One",230010524,230019180,69,70,6314403018,Byrne Real Estate and Property Management PLLC,RE/MAX Real Estate Group LLC
,1856775,False,865 Eagle Rock RD,Colorado Springs,80918,R,Single Family,Ranch,3,2,2,1987,475000,435000,True,0,Conventional,2018-10-15,N/E - Northeast,LJ Green,269,0.92,5000,1763,1763,0,43560,3,11-Colorado Springs,"Baseboard, Ceiling Fan, Hot Water",1,None,230013572,230004855,112,113,6320002002,HomeStar Properties,The Platinum Group
,9390071,False,1240 Wentwood DR,Colorado Springs,80919,"DF, HS, R",Single Family,2 Story,8,5,3,1994,569900,567000,True,7000,Conventional,2018-10-15,N/W - Northwest,The Woodlands,113,0.99,6000,5059,4679,0,21006,1,20-Academy,"Central Air, Forced Air, Natural Gas",0,"Basement, Gas, Main, Two",230011013,539040163,22,22,7323107012,RE/MAX Real Estate Group LLC,ERA Shields Real Estate
,1693159,False,11236 Modern Meadow LP,Colorado Springs,80921,PUD,Townhouse,2 Story,2,2,2,2018,293060,293060,True,3500,VA,2018-10-15,NGT - Northgate,Colorado Springs,225,1,0,1304,1304,267,2086,1,20-Academy,Forced Air,0,None,635504004,230016521,0,0,6220110005,Non Member,RE/MAX Properties Inc
,6237005,False,12434 Carmel Ridge RD,Colorado Springs,80921,PUD,Single Family,Ranch,5,4,3,2018,634900,622000,True,0,Conventional,2018-10-15,NGT - Northgate,Flying Horse,134,0.98,7000,4752,4129,780,11083,3,20-Academy,"Forced Air, Natural Gas",0,"Gas, Main",230016942,230018842,143,143,6216208035,"Vantage Sales, LLC",Red Bow Realty
,6376629,False,13609 Kitty Joe CT,Colorado Springs,80921,PUD,Single Family,Ranch,5,4,3,2017,849000,819500,True,0,Conventional,2018-10-15,NGT - Northgate,Flying Horse,193,0.97,10000,4410,4308,65,11187,2,20-Academy,"Central Air, Forced Air",0,"Basement, Gas, Main, Two",230014195,230019023,310,310,6204308039,"Turner Associates, LLC",Keller Williams Premier Realty
,8231710,False,1219 N Blazing Trail DR,Pueblo West,81007,UNKNOWN,Single Family,Ranch,3,2,2,2008,220900,220900,True,5000,VA,2018-10-15,PUE - Pueblo,Pueblo West,164,1,0,1351,1351,0,44866.8,3,60Jt-Miami/Yoder,"Forced Air, Natural Gas",1,None,635504004,230016521,0,0,9522001043,Non Member,RE/MAX Properties Inc
,6818240,False,895 W El Nido DR,Pueblo West,81007,A-3,Single Family,Ranch,4,3,2,2003,274900,274900,True,6000,Conventional,2018-10-15,PUE - Pueblo,Pueblo West,94,1,2750,2930,2609,0,49658.4,3,70-Pueblo,"Ceiling Fan, Central Air, Forced Air, Natural Gas",1,None,230009601,230016147,36,36,616002001,"Cool Colorado Homes, Inc.",Century 21 Curbow Realty
,6639053,False,6556 Sonny Blue DR,Colorado Springs,80923,PUD,Single Family,Ranch,2,2,1,2003,218000,221000,True,0,Conventional,2018-10-15,PWR - Powers,Ridgeview At Stetson Hills,214,1.01,2000,1020,1020,36,5500,2,49-Falcon,Forced Air,0,None,230016335,230009614,2,2,5318427009,Flying Horse Realty LLC,The Platinum Group
,2376040,False,1275 Cree DR,Colorado Springs,80915,A-4,Single Family,Bi-level,4,2,2,1980,235000,235500,False,1500,Conventional,2018-10-15,PWR - Powers,Cimarron Hills,155,1,2500,1521,1521,0,7000,0,11-Colorado Springs,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,"Lower, One, Wood",230018463,463572745,4,4,5408210029,Coldwell Banker Residential Brokerage             ,The Property Bunch Ltd.
,2992110,False,6365 Silverado TR,Colorado Springs,80922,PUD,Single Family,2 Story,4,3,2,1997,289900,292000,True,5000,FHA,2018-10-15,PWR - Powers,Stetson Hills,112,1.01,3000,2599,1915,0,5227,1,49-Falcon,"Ceiling Fan, Forced Air, Natural Gas",0,"Gas, Main, One",230010436,230018677,21,21,5319114003,HomeSmart Realty Group,The Agency
,6023501,False,6218 Finglas DR,Colorado Springs,80923,PUD,Single Family,2 Story,4,3,3,2014,339900,335000,False,0,Conventional,2018-10-15,PWR - Powers,Dublin North,122,0.99,3500,2781,2781,0,5668,0,49-Falcon,"Ceiling Fan, Central Air, Natural Gas",0,None,230015208,230003821,14,14,5307401095,Armstrong Real Estate Company,Rose Real Estate LLC                              
,1207065,False,2426 Lexington Village LN,Colorado Springs,80916,PUD,Townhouse,2 Story,2,2,2,1983,127000,130000,False,500,Conventional,2018-10-15,S/E - Southeast,Lexington Village,83,1.02,1500,1530,1020,151,519,0,2-Harrison,Forced Air,0,"Main, One",230008373,230015134,2,2,6426428097,RE/MAX Properties Inc,Keller Williams Clients Choice Rlty
,6854351,False,283 Ellers GR,Colorado Springs,80916,R-5,Condominium,Ranch,2,2,1,2002,169900,170000,True,3600,VA,2018-10-15,S/E - Southeast,Sand Creek Commons,144,1,1500,1177,1177,145,573,2,11-Colorado Springs,"Forced Air, Natural Gas",0,"Gas, Main",230014481,230011531,13,20,6413301148,Coldwell Banker Residential Brokerage             ,Coldwell Banker Residential Brokerage             
,2227189,False,4450 E Eastcrest CR,Colorado Springs,80916,"AO, R1-6",Single Family,Ranch,3,1,2,1980,225000,225000,True,3500,Conventional,2018-10-15,S/E - Southeast,Eastcrest,209,1,2000,1078,1078,0,7884,3,11-Colorado Springs,"Ceiling Fan, Forced Air, Natural Gas",0,"Gas, Main, One",230016700,230007314,0,0,6414418003,The Platinum Group,The Platinum Group
,7499442,False,1380 Ride LN,Colorado Springs,80916,"AO, PUD",Single Family,Tri-Level,2,2,1,1986,230000,230000,False,3500,Conventional,2018-10-15,S/E - Southeast,Horizon Iii,163,1,2000,1414,1407,0,4285,0,2-Harrison,"Ceiling Fan, Central Air, Forced Air",0,None,230010930,230011734,3,3,6423414006,Keller Williams Clients Choice Rlty,"CredoTrust Real Estate Group, LLC"
,3710240,False,3044 S Electra DR,Colorado Springs,80906,"HS, PUD",Single Family,Ranch,3,3,3,1993,499900,500000,True,5000,Conventional,2018-10-15,S/W - Southwest,Skyway Northwest,231,1,8000,2164,2164,0,44431,3,12-Cheyenne Mountain,"Ceiling Fan, Central Air, Forced Air, Natural Gas",1,"Gas, Main, One",230003826,230000854,104,104,7422108012,RE/MAX Properties Inc,RE/MAX Real Estate Group LLC
,7180416,False,241 Talus RD,Monument,80132,PRD,Single Family,Ranch,5,3,2,2000,465000,460000,True,0,VA,2018-10-15,TRI - Tri-Lakes,Jackson Creek,153,0.99,5000,3040,2571,0,7738,3,38-Lewis-Palmer,"Central Air, Forced Air, Natural Gas",0,"Basement, Gas, Main, Two, See Prop Desc Remarks",230004887,230014547,29,29,7125406009,The Platinum Group,The Cutting Edge
,1840625,False,18475 Canterbury DR,Monument,80132,RR-5,Single Family,2 Story,4,4,3,1993,639900,632000,True,0,Other,2018-10-15,TRI - Tri-Lakes,Canterbury West,139,0.99,5000,4598,4598,40,222156,2,38-Lewis-Palmer,"Ceiling Fan, Forced Air, Radiant Heat",5,"Stove, Wood",230010894,230010894,109,109,6116004002,RE/MAX Properties Inc.,RE/MAX Properties Inc.
,5182490,False,8250 Emporia AV,Cascade,80809,R-1,Single Family,Ranch,2,2,0,1943,329000,329000,True,0,VA,2018-10-15,UTE - Ute-Pass,Cascade,184,1,5000,1784,1490,0,10018.8,2,14-Manitou Springs,"Forced Air, Natural Gas",0,"Gas, Main, Two",230011714,230014928,11,12,8327104004,RE/MAX Performance Inc,"RE/MAX Advantage Realty, Inc."
,8651136,False,519 S Park ST,Woodland Park,80863,"UNKNOWN, UR",Single Family,Ranch,3,2,1,1960,297000,297000,True,2500,FHA,2018-10-15,WPK - Woodland Park,Fosters,176,1,3000,1690,1690,0,7492,3,Re2-Woodland Park,"Forced Air, Natural Gas",0,"Main, One, Wood",230013079,230020096,13,13,29244190220,Farris Price,Keller Williams Clients Choice Rlty
,7102976,False,1016 Old Wagon TR,Woodland Park,80863,A-1,Single Family,Ranch,5,3,1,1967,350000,330000,True,0,Conventional,2018-10-15,WPK - Woodland Park,Busch,135,0.94,5000,2592,2592,0,43560,2,Re2-Woodland Park,"Forced Air, Natural Gas",1,"Basement, Insert, Main, Two, Wood",230001052,523000293,15,15,29251000060,RE/MAX Performance Inc,RE/MAX Performance Inc
,5098588,False,2660 Sunnywood AV,Woodland Park,80863,R-1,Single Family,2 Story,4,3,2,1984,432500,425500,True,0,Conventional,2018-10-15,WPK - Woodland Park,Sunnywood,135,0.98,4000,3207,3207,0,21344.4,1,Re2-Woodland Park,"Forced Air, Natural Gas",0,None,230003911,230015781,12,12,29124160060,RE/MAX Performance Inc,"Your Neighborhood Realty, Inc."
,2875096,False,1015 Parkway LN,Woodland Park,80863,SR,Single Family,1.5 Story,5,4,3,2004,550000,545000,True,0,Conventional,2018-10-15,WPK - Woodland Park,Parkway Village,145,0.99,5000,3789,3466,250,24829.2,1,Re2-Woodland Park,"Ceiling Fan, Forced Air, Natural Gas",1,"Gas, Main",230003793,230000228,9,9,29122240130,Coldwell Banker 1st Choice Realty,Keller Williams Clients Choice Rlty
,2473773,False,8125 Regiment CT,Colorado Springs,80920,PUD,Patio Home,Ranch,2,2,2,2012,379900,365000,True,0,Cash,2018-10-16,BRI - Briargate,Sweetwater Ridge,217,0.96,4000,1751,1751,250,7255,2,20-Academy,"Central Air, Forced Air, Natural Gas",0,"Gas, Main, One",230001357,230007389,9,9,6304214040,"RE/MAX Advantage Realty, Inc.",RE/MAX Properties Inc
,2687103,False,2141 S Corona AV,Colorado Springs,80905,R-1,Single Family,Ranch,3,1,1,1954,196900,196900,True,4000,VA,2018-10-16,CEN - Central,Stratton Meadows,220,1,2000,894,894,0,5854,3,2-Harrison,Forced Air,0,None,230006977,230015553,4,13,6429302003,RE/MAX Real Estate Group LLC,RE/MAX Real Estate Group LLC
,1591706,False,219 Custer AV,Colorado Springs,80903,R2,Single Family,Ranch,2,1,0,1904,229900,240000,True,0,Conventional,2018-10-16,CEN - Central,Fairview,246,1.04,2500,936,936,0,6200,2,11-Colorado Springs,Forced Air,0,None,230008555,230008675,2,2,6417210028,Bowden Properties LLC,Century 21 Curbow Realty
,8642067,False,13917 Crosby CR,Sedalia,80135,RR,Single Family,Ranch,3,3,2,1994,475000,460000,True,0,Cash,2018-10-16,DSW - Douglas Southwest,Trout Creek Ranch,184,0.97,6000,2579,2579,0,217800,1,Re2-Woodland Park,"Baseboard, Hot Water",5,"Free-standing, Gas, Stove, Two, Wood",230008228,801066569,5,5,276720003008,RE/MAX Properties Inc,Pikes Peak Homes and Land Ltd
,6641177,False,3440 Parkmoor Village DR #H,Colorado Springs,80917,PUD,Condominium,Ranch,3,2,1,1974,93500,92500,True,0,Cash,2018-10-16,EAS - East,Sierra Pointe,87,0.99,1000,1072,1072,497,420,3,11-Colorado Springs,"Ceiling Fan, Forced Air, Natural Gas",0,None,842062508,230015231,25,25,6334102121,Pink Realty SoCo LLC,Pink Realty Inc
,3285107,False,5165 Solar Ridge DR,Colorado Springs,80917,PUD,Single Family,2 Story,4,4,2,1983,309500,302000,False,3000,VA,2018-10-16,EAS - East,Solar Ridge,108,0.98,3200,2865,2865,0,6962,0,11-Colorado Springs,"Ceiling Fan, Central Air",0,"Basement, Main, Two, Wood",219531313,230020270,95,96,6325220004,Lifetime Properties,Keller Williams Partners
,5104951,False,5564 Rose Ridge LN,Colorado Springs,80917,R1-6,Single Family,2 Story,6,4,2,2002,365000,345000,True,0,Cash,2018-10-16,EAS - East,Templeton Heights,119,0.95,3500,3079,2878,121,13560,1,11-Colorado Springs,"Central Air, Forced Air",0,"Gas, Main",230016370,232013897,30,30,6324104093,ERA Shields Real Estate,Caybren Real Estate
,1669919,False,113 Grinnell ST,Colorado Springs,80911,RS-5000,Single Family,Ranch,6,3,2,1962,264900,261000,True,0,VA,2018-10-16,F/V - Fountain Valley,Widefield Homes,120,0.99,2500,2214,2162,0,7096,3,3-Widefield,Forced Air,0,None,230010930,230005212,75,75,5519204014,Keller Williams Clients Choice Rlty,Carolyn Sue Cathey
,9110755,False,806 Hayloft LN,Fountain,80817,R,Single Family,Ranch,5,3,2,1998,289000,289000,True,800,Conventional,2018-10-16,F/V - Fountain Valley,Countryside,110,1,2500,2628,2601,0,7948,3,8-Fountain,"Ceiling Fan, Central Air, Forced Air, Natural Gas",0,"Gas, Main, One",230008606,230004297,16,16,5609308022,Davidson Properties Inc,"Childs Properties, LLC"
,8293702,False,5060 Manzana DR,Colorado Springs,80911,RS-6000,Single Family,Ranch,4,3,3,1978,289900,289900,True,4500,VA,2018-10-16,F/V - Fountain Valley,Clear View Estates,136,1,2500,2132,2100,0,10699,3,3-Widefield,Central Air,0,One,230009123,230016521,21,21,6501302012,Acquire Homes Inc,RE/MAX Properties Inc
,7815342,False,6792 Galpin DR,Colorado Springs,80925,PUD,Single Family,2 Story,3,3,2,2018,295250,290984,False,2103,VA,2018-10-16,F/V - Fountain Valley,Carriage Meadows South at Lorson Ranch,133,0.99,1000,2228,1530,0,4050,0,3-Widefield,"Ceiling Fan, Forced Air, Natural Gas",0,None,230017082,230017215,24,24,5522107040,"Turner Associates, LLC",PMI Total Solutions
,7132285,False,7864 Morton DR,Fountain,80817,RS-6000,Single Family,Ranch,5,3,3,2009,339900,325000,True,0,Conventional,2018-10-16,F/V - Fountain Valley,Mesa Ridge,118,0.96,5000,2890,2629,0,6689,3,8-Fountain,"Central Air, Forced Air, Natural Gas",0,"Gas, Main, One",230002278,230018354,21,21,5529113020,Berkshire Hathaway HomeServices Rocky Mountain,RE/MAX Properties Inc
,2894603,False,131 Dillon LN,Florissant,80816,R-1,Single Family,Ranch,3,2,0,1995,200000,200000,True,0,Conventional,2018-10-16,FLO - Florissant,Colorado Mountain Estates,128,1,2000,1558,1558,37,23522,3,Re2-Woodland Park,"Forced Air, Propane",1,"Main, Wood",230003793,230018810,7,7,45313100110,Coldwell Banker 1st Choice Realty,The K Company Realty
,2489440,False,14 Apache TR,Florissant,80816,R-1M,Single Family,Raised Ranch,2,3,3,2005,389900,369000,True,0,Conventional,2018-10-16,FLS - Florissant South,Bear Trap Ranch,169,0.95,4000,2312,2297,175,1089000,1,RE1-Cripple Creek/Victor,"Ceiling Fan, Radiant Heat",25,"Free-standing, Wood",230003595,230013423,193,194,7221000910,"Park Avenue Properties of Colorado Springs, LLC",HomeSmart Cherry Creek
,7032890,False,2352 Pinyon Jay DR,Colorado Springs,80951,R-2,Single Family,2 Story,4,3,2,2002,264900,275000,False,4200,VA,2018-10-16,MRK - Marksheffel,Claremont Ranch,98,1.04,2500,2709,1839,0,5174,0,49-Falcon,"Central Air, Forced Air",0,Electric,230016910,230015712,2,2,5404102036,Pulse Real Estate Group LLC,"House Hunters, LLC"
